dep_iata,airport_name,arr_iata
AEB,Baise Youjiang Airport,AEB
AEE,Adareil Airport,AEE
AEG,Aek Godang Airport,AEG
AEH,Abeche Airport,AEH
AEI,Algeciras Heliport,AEI
AEK,Aseki Airport,AEK
AEL,Albert Lea Municipal Airport,AEL
AEM,Amgu Airport,AEM
AEO,Aioun el Atrouss Airport,AEO
AEP,Jorge Newbery Airpark,AEP
AEQ,Ar Horqin Airport,AEQ
AER,Sochi International Airport,AER
AES,Ãlesund Airport,AES
AET,Allakaket Airport,AET
AEU,Abu Musa Island Airport,AEU
AEX,Alexandria International Airport,AEX
AEY,Akureyri Airport,AEY
AFA,Suboficial Ay Santiago Germano Airport,AFA
AFD,Port Alfred Airport,AFD
AFF,USAF Academy Airfield,AFF
AFI,Amalfi Airport,AFI
AFK,Kondavattavana Tank Seaplane Base,AFK
AFL,Piloto Osvaldo Marques Dias Airport,AFL
AFN,Jaffrey Airport Silver Ranch Airport,AFN
AFO,Afton Municipal Airport,AFO
AFR,Afore Airstrip,AFR
AFS,Sugraly Airport,AFS
AFT,Afutara Aerodrome,AFT
AFW,Fort Worth Alliance Airport,AFW
AFY,Afyon Airport,AFY
AFZ,Sabzevar National Airport,AFZ
AGA,Al Massira Airport,AGA
AGB,Augsburg Airport,AGB
AGC,Allegheny County Airport,AGC
AGD,Anggi Airport,AGD
AGE,Wangerooge Airport,AGE
AGF,Agen-La Garenne Airport,AGF
AGG,Angoram Airport,AGG
AGH,Ãngelholm-Helsingborg Airport,AGH
AGI,Wageningen Airstrip,AGI
AGJ,Aguni Airport,AGJ
AGK,Kagua Airport,AGK
AGL,Wanigela Airport,AGL
AGM,Tasiilaq Heliport,AGM
AGN,Angoon Seaplane Base,AGN
AGO,Ralph C Weiser Field,AGO
AGP,MÃ¡laga Airport,AGP
AGQ,Agrinion Air Base,AGQ
AGR,Agra Airport,AGR
AGS,Augusta Regional At Bush Field,AGS
AGT,Guarani International Airport,AGT
AGU,JesÃºs TerÃ¡n Paredo International Airport,AGU
AGV,Oswaldo Guevara Mujica Airport,AGV
AGW,Agnew Airport,AGW
AGX,Agatti Airport,AGX
AGY,Argyle Downs Airport,AGY
AGZ,Aggeneys Airport,AGZ
AHB,Abha Regional Airport,AHB
AHC,Amedee Army Air Field,AHC
AHD,Ardmore Downtown Executive Airport,AHD
AHE,Ahe Airport,AHE
AHF,Arapahoe Municipal Airport,AHF
AHH,Amery Municipal Airport,AHH
AHI,Amahai Airport,AHI
AHJ,Hongyuan Airport,AHJ
AHL,Aishalton Airport,AHL
AHM,Ashland Municipal Sumner Parker Field,AHM
AHN,Athens Ben Epps Airport,AHN
AHO,Alghero-Fertilia Airport,AHO
AHS,Ahuas Airport,AHS
AHT,Amchitka Army Airfield,AHT
AHT,Amchitka Army Airfield,AHT
AHU,Cherif Al Idrissi Airport,AHU
AHY,Ambatolhy Airport,AHY
AHZ,Altiport L'Alpe d'Huez - Henri GIRAUD,AHZ
AIA,Alliance Municipal Airport,AIA
AIC,Ailinglaplap Airok Airport,AIC
AID,Anderson Municipal Darlington Field,AID
AIE,Aiome Airport,AIE
AIF,Marcelo Pires Halzhausen Airport,AIF
AIG,Yalinga Airport,AIG
AIH,Aiambak Airport,AIH
AII,Ali-Sabieh Airport,AII
AIK,Aiken Regional Airport,AIK
AIL,Alligandi Airport,AIL
AIM,Ailuk Airport,AIM
AIN,Wainwright Airport,AIN
AIO,Atlantic Municipal Airport,AIO
AIP,Adampur Airport,AIP
AIR,AripuanÃ£ Airport,AIR
AIS,Arorae Island Airport,AIS
